Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
1471260.50275,-1.3359645263671873,0.0478840332031254,0.3495534423828125,-16.25,-23.25,1.75,336.25,-312.75,-363.25
1471261.503,-1.5275006591796874,-0.507570751953125,1.0773907470703123,-7.5,-30.0,-2.75,333.5,-307.0,-392.5
1471262.57,-0.7230489013671875,0.33518823242187423,0.22505495605468748,-14.5,-64.75,1.0,331.0,-317.0,-377.0
1471263.506,-0.6272808349609375,-0.32082302246093697,1.4317325927734375,-13.5,-58.5,1.0,304.75,-305.75,-412.25
1471264.502,-0.6560112548828124,-0.4261678955078132,2.2936451904296873,-35.75,-32.75,-16.25,293.5,-294.5,-424.0
1471265.5045,-1.2210428466796874,-0.3064578124999997,1.0007762939453124,41.75,-32.75,-14.75,299.75,-302.75,-414.25
1471266.5025,-0.5698199951171875,0.21547814941406251,0.01915361328125,-50.5,-74.5,6.75,296.75,-315.75,-400.25
1471267.5707999999,-1.2689268798828124,-0.01915361328125087,-0.09576806640624999,32.25,-43.5,16.0,267.25,-319.25,-396.25
1471268.5075,-0.93852705078125,0.028730419921874528,0.6416460449218749,-75.5,-44.25,-4.75,244.0,-309.0,-413.5
1471269.50175,-0.7757213378906249,-0.2537853759765625,1.944091748046875,-67.5,-50.75,-10.75,238.5,-299.5,-429.0
1471270.50575,-0.9864110839843749,-0.01915361328125087,1.7429788085937499,18.25,-14.0,-8.25,242.5,-287.0,-437.5
1471271.503,-0.928950244140625,0.21547814941406251,2.020706201171875,13.0,-5.0,7.0,236.75,-290.75,-437.25
1471272.5722,-0.842758984375,-0.38786066894531324,1.0199299072265624,-56.5,-90.75,-12.25,229.75,-311.75,-416.25
1471273.50475,-0.82360537109375,0.44053310546875046,-0.2346317626953125,51.25,-53.75,-3.75,219.5,-316.0,-406.5
1471274.507,-0.6607996582031249,-0.33997663574218784,1.0486603271484374,-65.5,-47.25,-2.75,206.25,-310.75,-411.75
1471275.50225,-1.254561669921875,0.0,1.216254443359375,-15.75,-31.75,6.75,189.0,-301.5,-421.5
1471276.5035,-1.407790576171875,0.24899697265625065,-0.023942016601562498,24.25,-6.75,-9.25,187.75,-328.75,-386.75
1471277.5758,-0.8762778076171874,-0.469263525390625,0.296881005859375,12.0,-17.25,7.25,187.25,-324.75,-387.75
1471278.50375,0.26815058593749996,-0.18674772949218799,-0.8667010009765624,-86.75,-84.5,-20.25,177.75,-324.75,-373.25
1471279.5055,-1.5610194824218748,0.7422025146484383,0.2059013427734375,19.75,-61.75,-6.25,170.5,-326.5,-376.0
1471280.5065,-1.3838485595703125,-0.5650315917968758,0.5793968017578125,-157.0,-34.25,-34.25,169.75,-314.75,-384.25
1471281.50275,-2.068590234375,0.93852705078125,0.612915625,54.75,-61.25,3.25,160.75,-311.75,-392.75
1471282.578,-1.22583125,-0.5267243652343758,0.70868369140625,-14.25,5.0,40.5,157.75,-322.75,-369.25
1471283.504,-1.0342951171875,-0.11492167968749989,0.4070142822265625,20.5,-8.75,22.0,138.25,-314.75,-372.75
1471284.502,-0.9145850341796874,0.15801730957031168,0.37828386230468747,-41.25,8.0,-15.0,135.5,-318.0,-358.0
1471285.50375,-1.01514150390625,-0.14844050292968802,0.7757213378906249,-33.0,11.5,-6.25,149.25,-315.25,-373.75
1471286.507,-0.9241618408203125,0.0,0.8954314208984374,-32.5,-50.5,-15.75,148.75,-316.75,-386.25
1471287.5795999998,-0.8667010009765624,-0.0478840332031254,1.13006318359375,-15.75,-28.5,-17.75,153.0,-314.5,-379.0
1471288.5035,-1.0295067138671874,-0.2633621826171879,0.7565677246093749,-2.25,-8.0,22.5,153.25,-316.25,-371.25
1471289.5045,-0.9528922607421875,-0.11013327636718806,0.6703764648437499,-39.75,-3.0,13.5,142.5,-313.5,-365.5
1471290.5025,-0.852335791015625,0.028730419921874528,0.74699091796875,3.5,-36.5,-11.0,139.25,-313.75,-364.75
1471291.5045,-0.8858546142578124,-0.0239420166015627,0.8571241943359375,-50.0,4.25,-13.25,138.5,-313.0,-367.0
1471292.584,-0.9624690673828125,-0.05746083984375083,1.0917559570312498,-9.0,-2.5,-0.25,143.25,-311.75,-373.25
1471293.50225,-0.93852705078125,0.04309562988281179,0.612915625,-14.25,-23.25,-6.0,143.75,-314.75,-360.75
1471294.50225,-0.9433154541015625,-0.1388636962890626,0.9241618408203125,-46.75,-28.0,-26.25,144.75,-315.75,-365.75
1471295.503,-0.8906430175781249,-0.4788403320312504,1.3407529296874998,-12.0,-11.0,44.0,135.5,-312.5,-371.5
1471296.4895,-1.0965443603515623,0.10534487304687445,1.005564697265625,-3.0,8.0,-10.0,127.5,-306.5,-369.5
1471297.5076666668,-0.93852705078125,0.049799394531250485,1.103248125,-55.0,-3.8,-7.8,138.8,-314.0,-368.8
1471298.4322000002,-1.01131078125,-0.0957680664062508,0.8542511523437499,3.0,-16.0,-13.4,142.8,-312.0,-378.4
1471299.429,-0.9193734375,-0.08427589843750027,0.4367023828125,25.8,-21.6,-5.8,147.8,-320.2,-361.4
1471300.4287999999,-0.9155427148437499,-0.0957680664062508,0.720175859375,-56.8,26.0,24.4,145.0,-322.2,-353.0
1471301.4302,-1.026633671875,-0.13790601562499916,0.8772354882812499,-12.0,55.2,-1.2,147.4,-314.6,-377.0
1471302.508,-0.9002198242187499,-0.07661445312499993,-0.16472107421874999,1.8,-12.8,1.2,151.2,-326.0,-362.8
1471303.429,-0.9270348828124999,0.07661445312499993,0.42521021484374993,-75.2,-8.4,-7.6,153.0,-317.0,-373.0
1471304.4314000001,-0.98449572265625,0.04213794921875014,0.7584830859375,-2.0,2.4,-23.2,163.8,-316.6,-389.8
1471305.4318,-0.873404765625,-0.24899697265625065,0.42904093749999994,-36.6,-34.0,11.2,167.2,-318.4,-380.4
1471306.426,-0.980665,-0.14556746093750128,1.0879252343749999,-18.6,34.2,15.6,151.2,-306.8,-384.8
1471307.5138333333,-1.03046439453125,0.09959878906250097,0.9730035546874999,-16.6,26.6,-22.4,167.8,-313.8,-396.6
1471308.4262,-1.593580625,0.2719813085937517,0.8810662109374999,-69.2,-21.0,-25.0,182.4,-312.0,-406.8
1471309.4298,-0.86957404296875,-0.6320692382812503,0.54013189453125,41.2,-52.2,51.4,173.8,-319.8,-387.8
1471310.4308,-0.9270348828124999,0.11109095703124972,0.38690298828124997,-24.2,42.4,3.4,155.8,-314.2,-375.0
1471311.4252,-1.348414375,0.02681505859374944,0.58610056640625,-27.4,-9.0,-18.0,167.2,-308.8,-394.0
1471312.5118333332,-0.1608903515625,-0.5324704492187493,0.3447650390625,-2.8,-3.8,21.4,176.0,-315.6,-376.8
1471313.4318,-0.8350975390625,0.24899697265625065,0.89255837890625,-110.4,-42.0,-11.0,158.4,-301.2,-402.4
1471314.426,-0.63206923828125,-0.07661445312499993,1.94217638671875,-34.8,-8.4,-9.0,161.0,-292.6,-417.8
1471315.4286,-0.4213794921875,-0.38307226562499963,2.099236015625,2.4,-43.2,-17.2,161.4,-293.0,-418.6
1471316.4296,-0.6856993554687499,-0.4673481640624999,1.52079689453125,5.0,33.8,48.2,150.2,-295.0,-408.6
1471317.5158333334,-0.7278373046875,0.28347347656249866,0.93852705078125,13.6,13.8,-26.8,161.2,-304.8,-400.8
1471318.4326,-0.50948611328125,0.16855179687499877,0.33327287109375,-32.4,-5.2,-6.2,175.0,-315.8,-390.2
1471319.4316,-0.8389282617187499,0.12258312500000024,1.3752294335937498,-61.0,18.4,-32.2,183.2,-309.2,-407.6
1471320.425,-0.64356140625,-0.8389282617187508,1.4288595507812498,-26.8,-17.2,36.0,192.2,-294.2,-420.2
1471321.4264,-0.84658970703125,0.16855179687499877,1.0879252343749999,41.6,-21.8,13.6,160.2,-304.6,-403.8
1471322.5148333332,-0.61674634765625,0.2260126367187496,0.70102224609375,-34.6,26.0,-17.2,176.4,-308.4,-399.6
1471323.4298,-0.54779333984375,-0.14939818359374968,1.00748005859375,-26.6,-27.8,4.0,180.2,-307.0,-404.2
1471324.4328,-0.873404765625,-0.03447650390624979,1.13006318359375,-44.8,53.0,8.4,182.4,-306.0,-406.4
1471325.4328,-0.5746083984375,-0.37541082031250106,1.0802637890625,-8.2,0.6,-12.0,201.2,-300.4,-420.0
1471326.4264,-0.8810662109374999,0.05363011718749888,0.46734816406249996,16.4,-26.8,5.8,195.8,-312.6,-401.0
1471327.5161666668,-0.82743609375,0.16855179687499877,0.0995987890625,-9.4,-16.8,-9.8,192.2,-321.4,-391.0
1471328.4296,-0.7393294726562499,0.06895300781249958,-0.0995987890625,-21.6,-25.8,-15.6,200.0,-323.2,-392.4
1471329.4318,-0.7814674218749998,-0.1264138476562504,0.38307226562499996,-35.2,-47.4,-9.0,196.8,-320.8,-398.4
1471330.4286,-0.8350975390625,-0.17621324218749912,0.8044517578125,-35.0,27.6,23.2,184.8,-314.0,-399.6
1471331.429,-0.9155427148437499,0.022984335937501044,1.2794613671875,-57.8,12.8,-5.8,194.6,-303.4,-410.6
1471332.5175,-0.86191259765625,-0.3179499804687502,1.6318878515625,-33.0,-32.4,1.0,193.6,-295.2,-432.8
1471333.429,-0.9117119921875,-0.01915361328125087,1.3560758203124998,19.6,-36.4,-12.8,185.6,-298.8,-420.4
1471334.432,-0.7738059765624999,-0.12258312500000024,0.7048529687499999,10.0,-8.2,-3.8,186.0,-316.0,-399.6
1471335.4318,-0.88489693359375,-0.0651222851562494,0.8006210351562499,-50.4,-30.8,6.2,181.8,-307.8,-403.8
1471336.4268,-0.95001921875,0.0,1.4288595507812498,-55.0,-31.6,-8.0,175.2,-301.2,-410.0
1471337.524,-0.88489693359375,-0.1800439648437493,1.670195078125,-16.4,-18.0,-11.0,172.6,-297.0,-416.6
1471338.4284,-0.82743609375,-0.18387468750000124,1.2947842578124997,9.4,-30.8,3.0,168.6,-303.4,-406.6
1471339.425,-0.7738059765624999,-0.23367408203124995,0.6933608007812501,13.2,-35.8,21.4,157.0,-315.4,-387.4
1471340.4274000002,-0.8810662109374999,0.19536685546875,0.6588842968749999,-60.2,-6.4,-20.4,149.8,-311.4,-384.6
1471341.4314000001,-0.76997525390625,-0.22984335937499978,1.8502390429687499,-59.4,-29.8,-2.2,152.4,-298.0,-400.8
1471342.5201666667,-0.8197746484374999,0.030645781249999615,1.7391480859375,23.4,0.6,-23.4,158.6,-301.8,-405.0
1471343.4314000001,-0.81594392578125,-0.04596867187500031,0.64356140625,8.8,-21.0,-13.2,170.8,-319.2,-386.0
1471344.4278,-0.76997525390625,-0.524809003906249,0.9193734375,-29.4,-34.4,32.8,159.2,-313.2,-382.0
1471345.4284,-0.92320416015625,0.09193734374999885,0.8657433203125,-18.6,16.0,25.6,135.4,-310.6,-376.2
1471346.4312,-0.77763669921875,0.05746083984375083,1.0496180078125,-47.4,-0.8,-36.2,148.6,-307.0,-389.0
1471347.5288333332,-0.9346963281249999,-0.06129156249999923,1.179862578125,-13.0,-18.6,-5.2,157.8,-309.0,-394.6
1471348.4335999999,-0.86191259765625,-0.1800439648437493,1.0496180078125,-4.8,-23.6,-0.8,154.8,-309.2,-390.4
1471349.4304000002,-0.8504204296874999,-0.11109095703124972,0.9576806640625,-24.8,-25.6,3.4,143.8,-310.6,-378.6
1471350.4314000001,-0.8772354882812499,0.09193734374999885,1.0802637890625,-46.6,-25.4,-21.6,145.4,-309.0,-382.2
1471351.4256,-0.8044517578125,-0.1800439648437493,1.35224509765625,5.4,-1.2,7.0,152.2,-309.8,-384.2
1471352.5281666669,-0.904050546875,-0.2949656445312492,1.0802637890625,-26.4,-29.6,13.8,146.8,-307.6,-384.0
1471353.4312,-1.0496180078125,-0.015322890625000696,1.19901619140625,-32.0,-15.4,-11.8,136.0,-305.2,-380.8
1471354.4314000001,-0.82743609375,-0.15322890624999985,1.5093047265625,-24.2,-25.2,-11.8,136.2,-302.2,-387.4
1471355.43,-0.7623138085937499,-0.16472107421875037,1.4173673828125,-5.4,3.6,12.2,143.4,-307.0,-383.8
